Nacionalidad;Periodo;Total
Perú;1 de enero de 2026;15.800
Perú;1 de octubre de 2025;16.000
Perú;1 de julio de 2025;16.700
Perú;1 de abril de 2025;18.300
Perú;1 de enero de 2025;18.800
Perú;1 de octubre de 2024;15.800
Perú;1 de julio de 2024;15.200
Perú;1 de abril de 2024;15.600
Perú;1 de enero de 2024;17.200
Perú;1 de octubre de 2023;13.000
Perú;1 de julio de 2023;14.600
Perú;1 de abril de 2023;18.800
Uruguay;1 de abril de 2026;..
Uruguay;1 de enero de 2026;..
Uruguay;1 de octubre de 2025;..
Uruguay;1 de julio de 2025;..
Uruguay;1 de abril de 2025;..
Uruguay;1 de enero de 2025;..
Uruguay;1 de octubre de 2024;..
Uruguay;1 de julio de 2024;..
Uruguay;1 de abril de 2024;..
Uruguay;1 de enero de 2024;..
Uruguay;1 de octubre de 2023;..
Uruguay;1 de julio de 2023;..
Uruguay;1 de abril de 2023;..
Venezuela;1 de abril de 2026;21.200
Venezuela;1 de enero de 2026;27.000
Venezuela;1 de octubre de 2025;20.500
Venezuela;1 de julio de 2025;21.600
Venezuela;1 de abril de 2025;25.000
Venezuela;1 de enero de 2025;30.500
Venezuela;1 de octubre de 2024;21.200
Venezuela;1 de julio de 2024;21.400
Venezuela;1 de abril de 2024;22.600
Venezuela;1 de enero de 2024;27.300
Venezuela;1 de octubre de 2023;15.300
Venezuela;1 de julio de 2023;18.100
Venezuela;1 de abril de 2023;21.500
Otro país de Sudamérica;1 de abril de 2026;..
Otro país de Sudamérica;1 de enero de 2026;..
Otro país de Sudamérica;1 de octubre de 2025;..
Otro país de Sudamérica;1 de julio de 2025;..
Otro país de Sudamérica;1 de abril de 2025;..
Otro país de Sudamérica;1 de enero de 2025;..
Otro país de Sudamérica;1 de octubre de 2024;..
Otro país de Sudamérica;1 de julio de 2024;..
Otro país de Sudamérica;1 de abril de 2024;..
Otro país de Sudamérica;1 de enero de 2024;..
Otro país de Sudamérica;1 de octubre de 2023;..
Otro país de Sudamérica;1 de julio de 2023;..
Otro país de Sudamérica;1 de abril de 2023;..
Bangladesh;1 de abril de 2026;..
Bangladesh;1 de enero de 2026;..
Bangladesh;1 de octubre de 2025;..
Bangladesh;1 de julio de 2025;..
Bangladesh;1 de abril de 2025;..
Bangladesh;1 de enero de 2025;..
Bangladesh;1 de octubre de 2024;..
Bangladesh;1 de julio de 2024;..
Bangladesh;1 de abril de 2024;..
Bangladesh;1 de enero de 2024;..
Bangladesh;1 de octubre de 2023;..
Bangladesh;1 de julio de 2023;..
Bangladesh;1 de abril de 2023;..
China;1 de abril de 2026;..
China;1 de enero de 2026;..
China;1 de octubre de 2025;..
China;1 de julio de 2025;..
China;1 de abril de 2025;..
China;1 de enero de 2025;..
China;1 de octubre de 2024;..
China;1 de julio de 2024;..
China;1 de abril de 2024;..
China;1 de enero de 2024;..
China;1 de octubre de 2023;..
China;1 de julio de 2023;..
China;1 de abril de 2023;..
Filipinas;1 de abril de 2026;..
Filipinas;1 de enero de 2026;..
Filipinas;1 de octubre de 2025;..
Filipinas;1 de julio de 2025;..
Filipinas;1 de abril de 2025;..
Filipinas;1 de enero de 2025;..
Filipinas;1 de octubre de 2024;..
Filipinas;1 de julio de 2024;..
Filipinas;1 de abril de 2024;..
Filipinas;1 de enero de 2024;..
Filipinas;1 de octubre de 2023;..
Filipinas;1 de julio de 2023;..
Filipinas;1 de abril de 2023;..
India;1 de abril de 2026;..
India;1 de enero de 2026;..
India;1 de octubre de 2025;..
India;1 de julio de 2025;..
India;1 de abril de 2025;..
India;1 de enero de 2025;..
India;1 de octubre de 2024;..
India;1 de julio de 2024;..
India;1 de abril de 2024;..
India;1 de enero de 2024;..
India;1 de octubre de 2023;..
India;1 de julio de 2023;..
India;1 de abril de 2023;..
Pakistán;1 de abril de 2026;..
Pakistán;1 de enero de 2026;..
Pakistán;1 de octubre de 2025;..
